id,director
862,[b'John Lasseter']
8844,[b'Joe Johnston']
15602,[b'Howard Deutch']
31357,[b'Forest Whitaker']
11862,[b'Charles Shyer']
949,[b'Michael Mann']
11860,[b'Sydney Pollack']
45325,[b'Peter Hewitt']
9091,[b'Peter Hyams']
710,[b'Martin Campbell']
9087,[b'Rob Reiner']
12110,[b'Mel Brooks']
21032,[b'Simon Wells']
10858,[b'Oliver Stone']
1408,[b'Renny Harlin']
524,[b'Martin Scorsese']
4584,[b'Ang Lee']
5,"[b'Allison Anders', b'Alexandre Rockwell', b'Robert Rodriguez', b'Quentin Tarantino']"
9273,[b'Steve Oedekerk']
11517,[b'Joseph Ruben']
8012,[b'Barry Sonnenfeld']
1710,[b'Jon Amiel']
9691,[b'Richard Donner']
12665,[b'Victor Salva']
451,[b'Mike Figgis']
16420,[b'Oliver Parker']
9263,[b'Lesli Linka Glatter']
17015,[b'Roger Michell']
902,"[b'Jean-Pierre Jeunet', b'Marc Caro']"
37557,[b'Zhang Yimou']
9909,[b'John N. Smith']
63,[b'Terry Gilliam']
78802,[b'Jean-Jacques Annaud']
9598,[b'Chris Noonan']
47018,[b'Christopher Hampton']
687,[b'Tim Robbins']
139405,[b'Stephen Low']
33689,[b'Andy Tennant']
9603,[b'Amy Heckerling']
34615,[b'Darrell James Roodt']
31174,[b'Richard Loncraine']
11443,"[b'Albert Hughes', b'Allen Hughes']"
35196,[b'Michael Hoffman']
9312,[b'Paul W.S. Anderson']
577,[b'Gus Van Sant']
11861,[b'Jocelyn Moorhouse']
807,[b'David Fincher']
10530,"[b'Mike Gabriel', b'Eric Goldberg']"
8391,[b'Patricia Rozema']
629,[b'Bryan Singer']
117164,[b'Richard W. Munchkin']
11448,[b'Woody Allen']
49133,[b'Gianni Amelio']
26441,[b'Holly Goldberg Sloan']
97406,[b'Ulu Grosbard']
124057,[b'Robert Tinnell']
9089,[b'Jodie Foster']
11010,[b'Michael Radford']
99040,[b'Robert Lepage']
11359,[b'Frank Oz']
17182,[b'John Schlesinger']
2054,[b'Stephen Herek']
10607,[b'Paris Barclay']
19760,[b'Bill Bennett']
9536,[b'Jason Bloom']
11525,[b'Farhad Mann']
40628,[b'James Foley']
4482,[b'Josiane Balasko']
10634,[b'F. Gary Gray']
755,[b'Robert Rodriguez']
11859,[b'Andrew Sipes']
28387,[b'Noah Baumbach']
48750,[b'Claude Lelouch']
20927,[b'Michael Goldenberg']
36929,[b'Steve Miner']
9102,[b'Christian Duguay']
124626,[b'Susanne Ofteringer']
27526,[b'Sean Penn']
9623,[b'Brian Gibson']
46785,[b'Jafar Panahi']
400,[b'Gary Fleder']
880,[b'Marleen Gorris']
146599,[b'Tim Reid']
188588,[b'Henry Jaglom']
8447,[b'Philip Haas']
10534,[b'Ridley Scott']
17414,[b'Ken Kwapis']
13997,[b'Penelope Spheeris']
2086,[b'John Badham']
61548,[b'John Duigan']
9095,[b'Stephen Frears']
12158,[b'Wes Craven']
9283,[b'Ted Demme']
9208,[b'John Woo']
40154,[b'Kenneth Branagh']
406,[b'Mathieu Kassovitz']
45549,[b'Paul W.S. Anderson']
63076,[b'Nick Broomfield']
11062,[b'Harold Becker']
13685,[b'Wes Anderson']
47475,[b'Nick Castle']
2045,[b'John Dahl']
9614,[b'Dennis Dugan']
688,[b'Clint Eastwood']
11907,[b'Doris D\xc3\xb6rrie']
10874,[b'Brian Henson']
89333,[b'Robert Leacock']
96357,[b'James Bruce']
197,[b'Mel Gibson']
103,[b'Martin Scorsese']
33542,[b'Stanley Tong']
43566,[b'Barbet Schroeder']
71754,[b'Mort Ransen']
43612,[b'\xc3\x89tienne Chatiliez']
51352,[b'Jon Blair']
16934,[b'Benjamin Ross']
10324,[b'Eric Schaeffer']
78406,[b'Andrew Davis']
55731,[b'Charles T. Kanganis']
32119,[b'John N. Smith']
11066,[b'Reginald Hudlin']
11104,[b'Wong Kar-wai']
37975,[b'Giuseppe Tornatore']
2074,[b'David O. Russell']
27793,[b'Peter MacDonald']
44284,[b'Moufida Tlatli']
290157,[b'Michel Negroponte']
110972,[b'Bryan Gordon']
32622,[b'Rebecca Miller']
73067,[b'Michael Lindsay-Hogg']
11863,[b'William Friedkin']
55475,[b'\xc3\x81ngel Mu\xc3\xb1iz']
124636,[b'Craig Baldwin']
9101,[b'David S. Ward']
123360,[b'Mark Rappaport']
5757,[b'Dirk Shafer']
39428,[b'Terence Davies']
124639,[b'Sandip Ray']
9302,[b'Jon Avnet']
11000,[b'Mike Nichols']
249882,[b'Jakov Sedlar']
16388,[b'Edward Burns']
9737,[b'Michael Bay']
30765,[b'Christopher Cain']
10474,[b'Scott Kalvert']
22279,[b'Mike Newell']
30157,[b'Hal Hartley']
568,[b'Ron Howard']
11780,[b'Michael Caton-Jones']
34996,[b'Abel Ferrara']
414,[b'Joel Schumacher']
649,[b'Luis Bu\xc3\xb1uel']
1873,[b'John Boorman']
5894,"[b'Paul Auster', b'Wayne Wang']"
1775,[b'Michael Moore']
8839,[b'Brad Silberling']
20649,[b'Spike Lee']
10329,[b'Frank Marshall']
8963,[b'Tony Scott']
26564,[b'Terry Zwigoff']
8068,[b'Robert Rodriguez']
8512,[b'Carl Franklin']
1572,[b'John McTiernan']
13552,[b'Gregg Araki']
259209,[b'Christopher Menaul']
6520,[b'Jerry Zucker']
9073,[b'Dwight H. Little']
10428,[b'Iain Softley']
17447,[b'Christopher Ashley']
9886,[b'Robert Longo']
9482,[b'Danny Cannon']
19326,[b'John Fortenberry']
9344,[b'Larry Clark']
9071,[b'Tom DiCillo']
8973,[b'Clive Barker']
15730,[b'Denys Arcand']
47608,[b'Antonia Bird']
2293,[b'Kevin Smith']
9070,[b'Bryan Spicer']
68274,[b'David Anspaugh']
48787,[b'Anthony Waller']
34574,[b'Michael Almereyda']
1642,[b'Irwin Winkler']
11472,[b'Chris Columbus']
36196,[b'Daisy von Scherler Mayer']
11980,[b'Gregory Widen']
58372,[b'Norman Ren\xc3\xa9']
32646,[b'Todd Haynes']
10533,[b'Roland Joff\xc3\xa9']
56088,[]
10802,[b'Paul Verhoeven']
10149,"[b'Wayne Wang', b'Paul Auster']"
18402,[b'Lasse Hallstr\xc3\xb6m']
9348,[b'Roger Donaldson']
139408,[b'James Keach']
281,[b'Kathryn Bigelow']
5967,[b'Jacques Demy']
79593,[b'Wesley Strick']
47939,[b'Martha Coolidge']
36834,[b'Agnieszka Holland']
9090,[b'Beeban Kidron']
3512,[b'Geoff Murphy']
52856,[b'Diane Keaton']
77350,[b'Douglas Keeve']
9560,[b'Alfonso Ar\xc3\xa1u']
9804,[b'Kevin Reynolds']
31611,[b'Desmond Nakano']
65796,[b'Walter Hill']
49805,[b'Mike Figgis']
26258,[b'Greg Beeman']
50797,[b'Nikita Mikhalkov']
19155,[b'Mil\xc4\x8do Man\xc4\x8devski']
76,[b'Richard Linklater']
11017,[b'Tamra Davis']
37141,[b'Guy Ferland']
9382,[b'Herbert Ross']
6715,[b'Peter Horton']
18256,[b'Stuart Gordon']
22625,"[b""Pat O'Connor""]"
2292,[b'Kevin Smith']
1909,[b'Jeremy Leven']
8984,[b'Barry Levinson']
61813,[b'Ren\xc3\xa9 Bonni\xc3\xa8re']
4954,[b'John Badham']
62488,[b'Jack Baran']
10531,[b'Roman Polanski']
11929,[b'Taylor Hackford']
8467,"[b'Peter Farrelly', b'Bobby Farrelly']"
10451,[b'Ang Lee']
20156,[b'Atom Egoyan']
