id,writer
862,"[b'Joss Whedon', b'Andrew Stanton', b'Joel Cohen', b'Alec Sokolow']"
8844,"[b'Jonathan Hensleigh', b'Greg Taylor', b'Jim Strain']"
15602,[]
31357,"[b'Ronald Bass', b'Terry McMillan']"
11862,"[b'Nancy Meyers', b'Albert Hackett']"
949,[b'Michael Mann']
11860,"[b'Barbara Benedek', b'David Rayfiel']"
45325,"[b'David Loughery', b'Stephen Sommers']"
9091,"[b'Karen Elise Baldwin', b'Gene Quintano']"
710,"[b'Jeffrey Caine', b'Bruce Feirstein']"
9087,[b'Aaron Sorkin']
12110,"[b'Mel Brooks', b'Rudy De Luca', b'Steve Haberman']"
21032,[]
10858,"[b'Oliver Stone', b'Stephen J. Rivele']"
1408,"[b'Marc Norman', b'Robert King']"
524,"[b'Martin Scorsese', b'Nicholas Pileggi']"
4584,[b'Emma Thompson']
5,[]
9273,[b'Steve Oedekerk']
11517,[b'Doug Richardson']
8012,[b'Scott Frank']
1710,"[b'David Madsen', b'Ann Biderman']"
9691,"[b'Lilly Wachowski', b'Lana Wachowski', b'Brian Helgeland']"
12665,[b'Victor Salva']
451,[b'Mike Figgis']
16420,[]
9263,[b'I. Marlene King']
17015,[b'Nick Dear']
902,"[b'Jean-Pierre Jeunet', b'Marc Caro', b'Gilles Adrien']"
37557,[]
9909,[b'Ronald Bass']
63,"[b'David Webb Peoples', b'Janet Peoples']"
78802,"[b'Alain Godard', b'Jean-Jacques Annaud']"
9598,"[b'George Miller', b'Chris Noonan']"
47018,[b'Christopher Hampton']
687,"[b'Tim Robbins', b'Helen Prejean']"
139405,[]
33689,[]
9603,[b'Amy Heckerling']
34615,[]
31174,[]
11443,[b'Michael Henry Brown']
35196,[]
9312,"[b'Ed Boon', b'John Tobias', b'Kevin Droney']"
577,[b'Buck Henry']
11861,[b'Jane Anderson']
807,[b'Andrew Kevin Walker']
10530,"[b'Susannah Grant', b'Philip LaZebnik', b'Carl Binder']"
8391,[b'Patricia Rozema']
629,[]
117164,[]
11448,[b'Woody Allen']
49133,"[b'Gianni Amelio', b'Andrea Porporati', b'Alessandro Sermoneta']"
26441,[]
97406,[b'Barbara Turner']
124057,[b'David Sherman']
9089,"[b'Chris Radant', b'W.D. Richter']"
11010,"[b'Furio Scarpelli', b'Giacomo Scarpelli']"
99040,[]
11359,[b'Melissa Mathison']
17182,[]
2054,[b'Patrick Sheane Duncan']
10607,"[b'Shawn Wayans', b'Marlon Wayans', b'Phil Beauman']"
19760,[]
9536,[]
